Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
Abrigo Pedra Talhada,GO-NI-176,840,60,CENA-252,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Alto Paraná 14,MS-PR-42,840,40,Gif-11226,,Tupiguarani,Guarani,-21.511,-51.993,,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Alto Paraná 14 (MS-PR-42),Tupiguarani (Guarani)
Mirim,,840,50,Beta-217600,Charcoal,Tupiguarani,,-5.763,-50.516,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Mirim,Tupiguarani
Jacó,,814,61,UFC-ZV-622,Charcoal,Tupiguarani,,-8.8129,-38.7875,,,Etchevarne 2002,"Etchevarne, Carlos. 2002. “Ambiente e Ocupação Humana Em Uma Região Do Sub-Médio São Francisco, Bahia.” CLIO - Série Arqueológica 15: 61–88.",FALSE,shcal20,0,0,,TP,,Jacó,Tupiguarani
Surubabel,,810,150,UFBA-1595,Charcoal,Tupiguarani,,-8.9019,-38.7122,Site with 10 primary burials associated with hearths.,,Etchevarne 2002,"Etchevarne, Carlos. 2002. “Ambiente e Ocupação Humana Em Uma Região Do Sub-Médio São Francisco, Bahia.” CLIO - Série Arqueológica 15: 61–88.",FALSE,shcal20,0,0,,TP,,Surubabel,Tupiguarani
Valenzuela,,810,60,Beta-197128,,Tupiguarani,Guarani,-27.52,-56.73,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Valenzuela,Tupiguarani (Guarani)
Cavalo Branco,,800,60,Beta-210214,Charcoal,Tupiguarani,Tauarí,-5.1732,-49.0426,Two circular patches of ADE and a mound (midden).,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Cavalo Branco,Tupiguarani (Tauarí)
Pedra Grande,RS-SM-07,800,40,SI-1003,Charcoal,Tupiguarani,Guarani,-29.55,-54.25,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Pedra Grande (RS-SM-07),Tupiguarani (Guarani)
Praia do Engenho Velho,GB-06,800,100,SI-434,Charcoal,Tupiguarani,,-22.8,-43.2333,,,Mielke and Long 1969,"Mielke, J, and A Long. 1969. “Smithsonian Institution Radiocarbon Measurements V.” Radiocarbon 11 (1): 163–82.",FALSE,shcal20,0,0,,TP,,Praia do Engenho Velho (GB-06),Tupiguarani
Caieira,LGA-007,795,95,,,Tupiguarani,Guarani,-28.43,-48.77,Reoccupation of shell mound. Four house floors surrounded by post holes.,,Hurt 1974,"Hurt, Wesley R. 1974. “The Interrelationship between the Natural Environment and Four Sambaquis, Coast of Santa Catarina, Brazil.” Occasional Papers and Monographs, University of Indiana Museum 1.",FALSE,shcal20,0,0,,TP,,Caieira (LGA-007),Tupiguarani (Guarani)
Deus me Livre 2,PA-AT-23,795,90,,,Tupiguarani,Itacaiúnas,-5.84,-50.45,ADE site.,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Deus me Livre 2 (PA-AT-23),Tupiguarani (Itacaiúnas)
Isla Vizcaíno,,790,105,URU-118,Charcoal,Tupiguarani,Guarani,-33.426,-58.425,The site contained urn burials.,Two dates (870 ± 100 BP and 790 ± 105) are published with the same laboratory number.,Coirolo 1990,"Coirolo, A D. 1990. “Prehistoria Del Uruguay: Clasificación de Las Formas de Los Recipientes Cerámicos.” Dédalo 28: 109–45.",FALSE,shcal20,0,0,,TP,,Isla Vizcaíno,Tupiguarani (Guarani)
PE-95-Cm,,785,150,BaH-1087-A,,Tupiguarani,,-8.03,-34.99,,,Albuquerque 2008,"Albuquerque, Marco. 2008. “Recipientes Cerâmicos de Grupos Tupi, No Nordeste Brasileiro.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania Andrade Lima, 55–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,PE-95-Cm,Tupiguarani
Culuene 1,,780,90,Beta-210471,,Tupiguarani,,-14.52,-52.89,,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Culuene 1,Tupiguarani
Deus me Livre 1,PA-AT-22,780,60,,,Tupiguarani,Itacaiúnas,-5.84,-50.45,ADE site.,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Deus me Livre 1 (PA-AT-22),Tupiguarani (Itacaiúnas)
Jerônimo Rodrigues,RS-MJ-98,775,65,SI-2198,Charcoal,Tupiguarani,Guarani,-29.761,-53.249,,,Brochado 1971,"Brochado, José Joaquim Justiniano Proenza. 1971. “Expansão Das Pesquisas Arqueológicas Nos Vales Do Jacuí e Ibicuí-Mirim.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 15: 11–36.",FALSE,shcal20,0,0,,TP,,Jerônimo Rodrigues (RS-MJ-98),Tupiguarani (Guarani)
MG-JF-13,,770,40,,,Tupiguarani,,-15.14,-44.24,,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,MG-JF-13,Tupiguarani
Mondaí 1,SC-U-53,770,100,SI-439,Charcoal,Tupiguarani,Guarani,-27.2,-53.417,,,Mielke and Long 1969,"Mielke, J, and A Long. 1969. “Smithsonian Institution Radiocarbon Measurements V.” Radiocarbon 11 (1): 163–82.",FALSE,shcal20,0,0,,TP,,Mondaí 1 (SC-U-53),Tupiguarani (Guarani)
Onça Puma 3,PA00978,760,40,Beta-236412,Charcoal,Tupiguarani,,-6.5294,-51.059,ADE site with 3.9 ha.,,Garcia 2012,"Garcia, Lorena L W G. 2012. “Arqueologia Na Região Dos Interflúvios Xingu-Tocantins: A Ocupação Tupi No Cateté.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Onça Puma 3 (PA00978),Tupiguarani
Posto Fiscal 1,PR-JA-02,760,50,SI-140,Charcoal,Tupiguarani,Guarani,-22.9076,-49.9922,Domestic areas with post holes and hearths.,,Long 1965,"Long, A. 1965. “Smithsonian Institution Radiocarbon Measurements II.” Radiocarbon 7: 245–56.",FALSE,shcal20,0,0,,TP,,Posto Fiscal 1 (PR-JA-02),Tupiguarani (Guarani)
Sete Quedas 3,PR-FO-04,760,40,SI-5039,,Tupiguarani,Guarani,-24.0765,-54.2534,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Sete Quedas 3 (PR-FO-04),Tupiguarani (Guarani)
Três Ranchos,PA-BA-38,760,105,SI-6753,,Tupiguarani,Tucuruí,-3.8487,-49.7069,,,Simões and Costa 1987,"Simões, Mário F, and Fernanda A Costa. 1987. “Pesquisas Arqueológicas No Baixo Rio Tocantins (Pará).” Revista de Arqueologia 4 (1): 11–27.",FALSE,shcal20,0,0,,TP,,Três Ranchos (PA-BA-38),Tupiguarani (Tucuruí)
Faz. Dona Carlota 2,PR-FI-140,745,75,SI-5027,,Tupiguarani,Guarani,-25.2054,-54.4603,Patches of dark earth.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Faz. Dona Carlota 2 (PR-FI-140),Tupiguarani (Guarani)
Abrigo Pedra Talhada,GO-NI-176,740,60,CENA-251,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Jambuaçu,PA-BA-85,740,40,Beta-217586,Charcoal,Tupiguarani,,-1.8896,-48.6066,ADE site with 1 ha.,,Senna 2016,"Senna, Cristina S F. 2016. “Geografia e Arqueologia: Análise Espacial e Contextual de Sítios Arqueológicos No Estuário Amazônico.” Revista GeoUSP 20 (2): 238–49.",FALSE,shcal20,0,0,,TP,,Jambuaçu (PA-BA-85),Tupiguarani
Perdido Mirim,,740,40,Beta-217605,Charcoal,Tupiguarani,,-5.77,-50.518,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Perdido Mirim,Tupiguarani
Jovino,MG-GV-53,720,150,SI-2786,,Tupiguarani,,-20.97,-46.04,The site contained burials.,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Jovino (MG-GV-53),Tupiguarani
Rio São Francisco Verdadeiro 8,PR-TO-20,700,55,SI-5036,,Tupiguarani,Guarani,-24.6797,-54.2306,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Rio São Francisco Verdadeiro 8 (PR-TO-20),Tupiguarani (Guarani)
Arnildo Drew,RS-MJ-87,695,55,SI-2200,Charcoal,Tupiguarani,Guarani,-29.678,-53.644,,,Brochado 1971,"Brochado, José Joaquim Justiniano Proenza. 1971. “Expansão Das Pesquisas Arqueológicas Nos Vales Do Jacuí e Ibicuí-Mirim.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 15: 11–36.",FALSE,shcal20,0,0,,TP,,Arnildo Drew (RS-MJ-87),Tupiguarani (Guarani)
Arroyo Fredes,,690,70,UGA-10789,Human bone,Tupiguarani,Guarani,-34.209,-58.568,Multiple secondary burials in funerary urn. An exotic bronze pin head points to indirect contact with the Andes. Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,,Loponte et al. 2011,"Loponte, Daniel, Alejandro Acosta, I Capparelli, and M Pérez. 2011. “La Arqueología Guaraní En El Extremo Meridional de La Cuenca Del Plata.” In Arqueología Tupiguaraní, edited by Daniel Loponte and Alejandro Acosta, 111–54. Buenos Aires: Instituto Nacional de Antropología y Pensamiento Latinoamericano.",FALSE,shcal20,0,0,,TP,,Arroyo Fredes,Tupiguarani (Guarani)
Largo do Bacabal,PA-AL-31,690,90,SI-4346,,Tupiguarani,,-3.54,-52.33,ADE site.,,Perota 1992,"Perota, Celso. 1992. “Adaptação Agrícola No Baixo Xingu.” In Prehistoria Sudamericana: Nuevas Perspectivas, edited by Betty J Meggers, 211–18. Washington, D. C.: Taraxacum.",FALSE,shcal20,0,0,,TP,,Largo do Bacabal (PA-AL-31),Tupiguarani
Santa Tecla I,,684,170,AC-1338,,Tupiguarani,Guarani,-27.637,-56.615,,,Rodríguez 1997,"Rodríguez, Jorge A. 1997. “Investigaciones Arqueológicas En Yacyretá (Corrientes-Argentina).” Jornadas de Antropología de La Cuenca Del Plata 3: 41–47.",FALSE,shcal20,0,0,,TP,,Santa Tecla I,Tupiguarani (Guarani)
Cavalo Branco,,680,40,Beta-210847,Charcoal,Tupiguarani,Tauarí,-5.1732,-49.0426,Two circular patches of ADE and a mound (midden).,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Cavalo Branco,Tupiguarani (Tauarí)
Loca da Anta,MT-SL-62,680,60,Beta-31033,,Tupiguarani,,-16.3861,-55.0456,Rock shelter with parietal art.,The provenience of the date is unclear. Could be Uru.,Wüst 1990,"Wüst, Irmhild. 1990. “Continuidade e Mudança: Para Uma Interpretação Dos Grupos Ceramistas Pré-Coloniais Da Bacia Do Rio Vermelho, Mato Grosso.” São Paulo: University of São Paulo.",TRUE,shcal20,0,0,,TP,,Loca da Anta (MT-SL-62),Tupiguarani
Zacarias,,680,130,SI-471,Charcoal,Tupiguarani,,-11.32,-38.23,,,Calderón 1967,"Calderón, Valentin. 1967. “Notícia Preliminar Sobre as Seqüências Arqueológicas Do Médio São Francisco e Da Chapada Diamantina, Estado Da Bahia.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi, no. 6.",FALSE,shcal20,0,0,,TP,,Zacarias,Tupiguarani
Barra do Turvo 3,RS-VZ-52,675,50,SI-799,Charcoal,Tupiguarani,Guarani,-27.3,-54.07,,"In the original publication, this date is said to come from preceramic levels.",Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",TRUE,shcal20,0,0,,TP,,Barra do Turvo 3 (RS-VZ-52),Tupiguarani (Guarani)
Alto do Calhau,,670,30,Beta-324856,,Tupiguarani,,-2.4996,-44.2645,,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Alto do Calhau,Tupiguarani
Abrigo Pedra Talhada,GO-NI-176,660,60,CENA-243,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Itaguá,,660,80,I-9877,Charcoal,Tupiguarani,,-23.4448,-45.076,"The site contained abundant charcoal, hearths, post holes and one urn burial.",,Uchôa et al. 1984,"Uchôa, Dorath Pinto, Maria M Scatamacchia, and Caio del Rio Garcia. 1984. “O Sítio Cerâmico Do Itaguá: Um Sítio de Contacto No Litoral Do Estado de São Paulo, Brasil.” Revista de Arqueologia 2 (2): 51–60.",FALSE,shcal20,0,0,,TP,,Itaguá,Tupiguarani
Córrego do Maranhão,ZM-CR-01,650,40,Beta-245433,Charcoal,Tupiguarani,,-20.7346,-42.1582,Ceramic densities suggest a ring village 1.5 ha.,,Mageste 2017,"Mageste, Leandro Elias Canaan. 2017. “Cronologia e Variabilidade: Os Ceramistas Tupiguarani Da Zona Da Mata Mineira e Complexo Lagunar de Araruama.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego do Maranhão (ZM-CR-01),Tupiguarani
Largo do Souza II,PA-BI-02,645,60,SI-4350,,Tupiguarani,,-3.24,-52.21,ADE site.,,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Largo do Souza II (PA-BI-02),Tupiguarani
Anauá,,640,40,Beta-233908,Charcoal,Tupiguarani,,-7.2534,-38.6405,,,Machado 2010,"Machado, Daniel L. 2010. “Estudo Arqueológico Dos Sítios Anauá, Chapada, Santo Antônio e Olho d’Água Do Pau, Mauriti - Ceará.” Recife: Universidade Federal de Pernambuco.",FALSE,shcal20,0,0,,TP,,Anauá,Tupiguarani
Cachorro Cego,PA-AT-287,640,40,Beta-227310,Charcoal,Tupiguarani,,-5.82,-50.5353,Patches of ADE covering over 15 ha. Excavations revealed hearths and post holes.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Cachorro Cego (PA-AT-287),Tupiguarani
Alto do Calhau,,630,30,Beta-324857,,Tupiguarani,,-2.4996,-44.2645,,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Alto do Calhau,Tupiguarani
Grajaú,,630,80,,,Tupiguarani,,-4.2532,-45.3701,,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Grajaú,Tupiguarani
Orlando,PA-AT-288,630,40,Beta-227318,Charcoal,Tupiguarani,,-5.8135,-50.5379,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Orlando (PA-AT-288),Tupiguarani
Borevi 2,PR-FI-100,625,55,SI-5020,,Tupiguarani,Guarani,-25.2799,-54.4815,Patches of dark earth arranged in a semi-circle.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Borevi 2 (PR-FI-100),Tupiguarani (Guarani)
Largo do Souza II,PA-BI-02,625,60,SI-4349,,Tupiguarani,,-3.24,-52.21,ADE site.,,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Largo do Souza II (PA-BI-02),Tupiguarani
Cavalo Branco,,620,80,Beta-210848,Charcoal,Tupiguarani,Tauarí,-5.1732,-49.0426,Two circular patches of ADE and a mound (midden).,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Cavalo Branco,Tupiguarani (Tauarí)
Caxambu do Sul 1,SC-U-55,620,80,SI-550,Charcoal,Tupiguarani,Guarani,-27.117,-53.083,,,Stuckenrath and Mielke 1972,"Stuckenrath, R, and J Mielke. 1972. “Smithsonian Institution Radiocarbon Measurements VII.” Radiocarbon 14 (2): 401–12.",FALSE,shcal20,0,0,,TP,,Caxambu do Sul 1 (SC-U-55),Tupiguarani (Guarani)
Pedro Pereira III,GO-JU-39,620,55,N-2351,,Tupiguarani,,-16,-52,,,Schmitz 1976,"Schmitz, Pedro I. 1976. “Arqueologia de Goiás: Sequencia Cultural e Datações de C14.” Anuário de Divulgação Científica 3/4: 1–19.",FALSE,shcal20,0,0,,TP,,Pedro Pereira III (GO-JU-39),Tupiguarani
Geraldo,PR-ST-01,610,120,SI-696,Charcoal,Tupiguarani,Guarani,-23.3249,-52.6019,The site contained urn burials.,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Geraldo (PR-ST-01),Tupiguarani (Guarani)
Ilha Chico Manuel,RS-C-71,610,50,Beta-142779,Charcoal,Tupiguarani,Guarani,-30.2653,-51.1632,,,Gaulier 2001,"Gaulier, P. 2001. “Ocupação Pré-Histórica Guarani No Município de Porto Alegre, RS: Considerações Preliminares e Primeira Datação Do Sítio Arqueológico RS-71-C Da Ilha Francisco Manoel.” Revista de Arqueologia 14/15: 57–73.",FALSE,shcal20,0,0,,TP,,Ilha Chico Manuel (RS-C-71),Tupiguarani (Guarani)
Maracaju 1,MS-MJ-01,610,50,Gif-8330,,Tupiguarani,Guarani,-21.7743,-55.3896,Rock shelter.,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Maracaju 1 (MS-MJ-01),Tupiguarani (Guarani)
Piracanjuba,,610,50,Beta-194558,Charcoal,Tupiguarani,,-23.1531,-49.3712,Four patches of ADE with high density of ceramics and hearths.,,Moraes 2007,"Moraes, Camila Azevedo. 2007. “Arqueologia Tupi No Nordeste de São Paulo: Um Estudo de Variabilidade Artefatual.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Piracanjuba,Tupiguarani
San Antonio,,610,70,Beta-105247,,Tupiguarani,Guarani,-27.514,-56.738,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,San Antonio,Tupiguarani (Guarani)
Pedra Grande,RS-SM-07,605,40,SI-1002,,Tupiguarani,Guarani,-29.55,-54.25,,,Brochado 1969,"Brochado, José Joaquim Justiniano Proenza. 1969. “Pesquisas Arqueológicas Nos Vales Do Ijuí e Do Jacuí.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 13: 31–62.",FALSE,shcal20,0,0,,TP,,Pedra Grande (RS-SM-07),Tupiguarani (Guarani)
Edinaldo,PA-AT-289,600,40,Beta-227313,Charcoal,Tupiguarani,,-5.8084,-50.538,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Edinaldo (PA-AT-289),Tupiguarani
Paineira,PR-FI-103,600,60,SI-5029,,Tupiguarani,Guarani,-25.2013,-54.4586,The site contained an urn burial.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Paineira (PR-FI-103),Tupiguarani (Guarani)
Cafezal 2,PR-FI-127,590,55,SI-5024,,Tupiguarani,Guarani,-24.9333,-54.418,,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Cafezal 2 (PR-FI-127),Tupiguarani (Guarani)
Rio Condor 5,PR-FL-15,590,70,SI-699,Charcoal,Tupiguarani,Guarani,-23.5469,-52.3214,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Rio Condor 5 (PR-FL-15),Tupiguarani (Guarani)
SC-VP-38,SC-VP-38,590,100,SI-826,Charcoal,Tupiguarani,Guarani,-27.271,-52.508,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,SC-VP-38,Tupiguarani (Guarani)
Córrego do Maranhão,ZM-CR-01,580,50,Beta-290691,Charcoal,Tupiguarani,,-20.7346,-42.1582,Ceramic densities suggest a ring village 1.5 ha.,,Mageste 2017,"Mageste, Leandro Elias Canaan. 2017. “Cronologia e Variabilidade: Os Ceramistas Tupiguarani Da Zona Da Mata Mineira e Complexo Lagunar de Araruama.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego do Maranhão (ZM-CR-01),Tupiguarani
Fazenda Soares,RS-RG-02,580,50,Beta-64560,Charcoal,Tupiguarani,Guarani,-31.847,-52.222,,,Carle 2002,"Carle, Mirian Baptista. 2002. “Investigação Arqueológica Em Rio Grande: Uma Proposta Da Ocupação Guarani Pré-Histórica No Rio Grande Do Sul .” Porto Alegre: PUCRS.",FALSE,shcal20,0,0,,TP,,Fazenda Soares (RS-RG-02),Tupiguarani (Guarani)
Llamarada 1,,580,50,Beta-41941,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
Vão Grande,TO00415,580,50,Beta-195245,,Tupiguarani,,-9.9597,-48.3189,Rock shelter with parietal art.,,Morales 2008,"Morales, Walter F. 2008. Brasil Central: 12.000 Anos de Ocupação No Médio Curso Do Rio Tocantins, TO. São Paulo: Annablume.",FALSE,shcal20,0,0,,TP,,Vão Grande (TO00415),Tupiguarani
Itapinima I,PA-AL-39,575,70,SI-4343,,Tupiguarani,,-3.24,-52.21,ADE site.,,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Itapinima I (PA-AL-39),Tupiguarani
4 Alfa,PA-AT-292,570,40,Beta-217609,Charcoal,Tupiguarani,,-5.7781,-50.5465,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,4 Alfa (PA-AT-292),Tupiguarani
RJ-19,,570,100,SI-438,Charcoal,Tupiguarani,,-22.8333,-42.125,,,Mielke and Long 1969,"Mielke, J, and A Long. 1969. “Smithsonian Institution Radiocarbon Measurements V.” Radiocarbon 11 (1): 163–82.",FALSE,shcal20,0,0,,TP,,RJ-19,Tupiguarani
